id_aluno,ano_ref,fase,fase_original,flag_fase_9,idade,idade_original,flag_idade_padronizada,genero_original,genero,ano_ingresso,instituicao_original,instituicao_tipo,instituicao_subtipo,flag_bolsa_parceria,pedra,inde,iaa,ieg,ips,ipp,ida,ipv,ian,fase_ideal,defasagem,matematica,portugues,ingles,flag_sem_avaliacao,fase_nome,delta_ida,delta_ieg,delta_inde,delta_ian,queda_ida,queda_ieg,queda_inde,ips_anterior,ida_anterior,ieg_anterior,perfil_defasagem,delta_ida_futuro,delta_ieg_futuro,delta_defasagem_futuro,risco_defasagem_futuro,tem_futuro
36,2022,6,6,0,17,17.0,0,Menina,Feminino,2019,Rede Decisão,privada,sem_subtipo,0,Ametista,7.876,9.2,9.0,6.9,,6.8,8.944,5.0,Fase 7 (3º EM),-1,8.5,4.3,7.8,0,Fase 6,,,,,0,0,0,,,,Defasagem leve,,,1.0,0,True
36,2023,8,FASE 8,0,18,18.0,0,Feminino,Feminino,2019,Privada *Parcerias com Bolsa 100%,privada,parceria_bolsa,1,,,,,,,,,10.0,Fase 8 (Universitários),0,,,,1,Fase 8,,,,5.0,0,0,0,6.9,6.8,9.0,Adequado,,,0.0,0,True
36,2024,8,8E,0,19,19.0,0,Feminino,Feminino,2021,Privada *Parcerias com Bolsa 100%,privada,parceria_bolsa,1,,,,0.0,,,,,10.0,Fase 8 (Universitários),0,,,,1,Fase 8,,,,0.0,0,0,0,,,,Adequado,,,,,False
37,2022,6,6,0,17,17.0,0,Menina,Feminino,2019,Rede Decisão,privada,sem_subtipo,0,Quartzo,4.95,0.0,5.4,5.0,,5.9,5.222,5.0,Fase 7 (3º EM),-1,2.3,5.3,10.0,0,Fase 6,,,,,0,0,0,,,,Defasagem leve,,,,,False
38,2022,6,6,0,17,17.0,0,Menina,Feminino,2017,Rede Decisão,privada,sem_subtipo,0,Topázio,8.523,9.2,8.9,7.5,,8.6,9.833,5.0,Fase 7 (3º EM),-1,9.0,7.0,9.7,0,Fase 6,,,,,0,0,0,,,,Defasagem leve,-0.8999999999999995,0.7999999999999989,1.0,1,True
38,2023,7,FASE 7,0,18,17.0,1,Feminino,Feminino,2017,Privada - Programa de Apadrinhamento,privada,apadrinhamento,1,Topázio,8.835333333,9.6,9.7,7.52,8.75,7.7,8.8825,10.0,Fase 7 (3° EM),0,8.2,8.8,6.0,0,Fase 7,-0.8999999999999995,0.7999999999999989,0.31233333299999977,5.0,1,0,0,7.5,8.6,8.9,Adequado,,-9.7,0.0,1,True
38,2024,8,8F,0,19,18.0,1,Feminino,Feminino,2021,Privada - Programa de Apadrinhamento,privada,apadrinhamento,1,,,,0.0,,,,,10.0,Fase 8 (Universitários),0,,,,1,Fase 8,,-9.7,,0.0,0,1,0,7.52,7.7,9.7,Adequado,,,,,False
39,2022,6,6,0,16,16.0,0,Menina,Feminino,2017,Rede Decisão,privada,sem_subtipo,0,Ágata,6.033,0.0,4.8,6.9,,6.9,6.111,10.0,Fase 6 (2º EM),0,7.7,5.1,7.8,0,Fase 6,,,,,0,0,0,,,,Adequado,0.8999999999999995,4.3,0.0,0,True
39,2023,7,FASE 7,0,17,17.0,0,Feminino,Feminino,2017,Privada - Programa de Apadrinhamento,privada,apadrinhamento,1,Topázio,8.710333333,9.6,9.1,7.52,8.75,7.8,8.7575,10.0,Fase 7 (3° EM),0,8.3,7.8,7.2,0,Fase 7,0.8999999999999995,4.3,2.677333332999999,0.0,0,0,0,6.9,6.9,4.8,Adequado,,-9.1,0.0,1,True
39,2024,8,8F,0,18,18.0,0,Feminino,Feminino,2021,Privada *Parcerias com Bolsa 100%,privada,parceria_bolsa,1,,,,0.0,,,,,10.0,Fase 8 (Universitários),0,,,,1,Fase 8,,-9.1,,0.0,0,1,0,7.52,7.8,9.1,Adequado,,,,,False
40,2022,5,5,0,16,16.0,0,Menina,Feminino,2016,Rede Decisão,privada,sem_subtipo,0,Ametista,7.203,7.9,7.8,7.5,,6.8,7.75,5.0,Fase 6 (2º EM),-1,4.7,7.3,8.4,0,Fase 5,,,,,0,0,0,,,,Defasagem leve,-0.8999999999999995,0.39999999999999947,0.0,1,True
40,2023,6,FASE 6,0,17,17.0,0,Feminino,Feminino,2016,Privada - Programa de Apadrinhamento,privada,apadrinhamento,1,Ametista,7.169975,7.5,8.2,7.52,7.96875,5.9,7.755,5.0,Fase 7 (3° EM),-1,6.2,5.7,5.8,0,Fase 6,-0.8999999999999995,0.39999999999999947,-0.033025000000000304,0.0,1,0,1,7.5,6.8,7.8,Defasagem leve,-0.5666666666666673,-0.9887426899999987,1.0,1,True
