id_aluno,ano_ref,fase,idade,defasagem,ida,ieg,iaa,ips,ipp,ipv,ian,matematica,portugues,ingles,risco_defasagem_futuro
107,2022,4,15,-1,4.6,6.4,7.5,7.5,,6.5,5.0,3.3,4.3,6.0,0
107,2023,5,16,0,7.0,8.5,0.0,5.0,7.34375,7.5875,10.0,6.0,5.2,9.7,1
108,2022,4,17,-3,5.0,7.7,4.6,5.0,,6.125,2.5,3.0,5.8,6.2,1
108,2023,5,18,-2,2.9,7.3,5.8,2.52,4.375,5.59,5.0,2.7,3.2,2.8,1
109,2022,4,16,-2,8.4,10.0,8.8,8.8,,8.667,5.0,7.8,7.5,9.9,1
109,2023,6,17,-1,8.3,9.9,8.3,7.52,8.75,8.59,5.0,7.0,8.2,9.7,1
110,2022,4,14,0,6.7,9.7,9.2,5.6,,8.0,10.0,8.3,5.7,6.0,1
110,2023,5,15,0,7.5,8.6,8.3,5.0,8.75,8.2975,10.0,8.3,6.2,8.0,0
111,2022,4,13,1,8.0,9.4,7.5,8.1,,8.667,10.0,6.7,7.5,9.7,1
111,2023,5,14,1,6.0,8.7,7.5,5.0,7.65625,8.0875,10.0,6.0,5.2,6.7,1
112,2022,4,15,-1,8.5,7.8,7.9,6.3,,8.833,5.0,9.0,7.5,9.1,1
112,2023,5,16,-1,7.4,8.1,6.7,5.0,7.96875,7.9225,5.0,7.3,6.5,8.3,1
113,2022,4,15,-1,3.7,0.0,0.0,5.0,,3.792,5.0,3.3,5.5,2.3,1
114,2022,4,16,-2,5.3,6.3,7.9,7.5,,5.0,5.0,6.0,4.5,,1
114,2023,5,17,-2,5.6,6.0,0.0,3.14,7.5,7.255,5.0,4.0,4.5,8.3,1
115,2022,4,16,-2,3.8,6.8,8.3,6.3,,5.583,5.0,3.0,5.7,2.7,0
115,2023,5,17,-1,4.2,7.1,8.8,5.0,7.34375,7.215,5.0,3.7,3.8,5.2,1
116,2022,4,16,-2,5.9,8.1,5.8,6.3,,7.792,5.0,5.0,7.2,5.5,1
116,2023,5,17,-2,4.7,7.6,6.7,5.0,7.96875,7.5475,5.0,2.3,5.0,6.8,1
117,2022,4,15,-1,6.1,6.3,7.9,6.9,,7.417,5.0,4.7,6.7,7.0,1
118,2022,4,14,0,3.9,5.3,0.0,6.3,,6.958,10.0,3.7,4.7,3.5,1
